speaker,topic_id,prevalence,label,top_terms
Reagan,1,0.40863070769810333,soviet | war | power | peace,"soviet, war, power, peace, allies, seek, federal, strength, live, tell, man, freedom"
Reagan,5,0.18216314304458264,recession | workers | generation | carter,"recession, workers, generation, carter, dream, values, unemployment, golden, jimmy, unemployment inflation, misery, work"
Reagan,4,0.16039633508462725,economic | strategy | tax | carter,"economic, strategy, tax, carter, projections, rate, regulations, growth, tax rates, spending control, systematic, depreciation"
Reagan,2,0.12714818923935473,ticket | felt | conclusion | tradition,"ticket, felt, conclusion, tradition, break, man, late, true, nominated, wait, bit, assure"
Reagan,3,0.12166162493333217,credit | principles | wed | society,"credit, principles, wed, society, youve, grateful, belongs, politics, room, message, gave, watching"
Trump,4,0.16606260267177603,trump | donald trump | donald | god,"trump, donald trump, donald, god, life, freedom, family, bless, great, faith, god bless, democrats"
Trump,1,0.16185918376730826,hes | think | doing | got,"hes, think, doing, got, hell, sir, fake, big, nice, little, whats, beautiful"
Trump,2,0.1596680282105643,hillary | clinton | hillary clinton | isis,"hillary, clinton, hillary clinton, isis, terrorism, hillary clintons, clintons, iraq, war, security, foreign policy, plan"
Trump,6,0.13021003100445713,biden | joe | joe biden | click,"biden, joe, joe biden, click, click watch, watch, sen, black, bidens, nominees, vice, senator"
Trump,7,0.11010983571553556,hillary | clinton | obamacare | hillary clinton,"hillary, clinton, obamacare, hillary clinton, illegal, hillarys, jobs, trump administration, corruption, criminal, trade, win"
Trump,8,0.10056197447862837,clinton | hillary clinton | hillary | african,"clinton, hillary clinton, hillary, african, jobs, roads, donating, donating hillary, follow money, donors, poverty, jobs jobs"
Trump,5,0.09401736273979824,trade | agreement | economic policy | trade agreement,"trade, agreement, economic policy, trade agreement, policy institute, trade relations, institute, robert scott, jobs, relations, trade deficit, tpp"
Trump,3,0.0775109814119319,fracking | fossil | fossil fuel | gas,"fracking, fossil, fossil fuel, gas, biden, fuel, oil gas, oil, joe, ban fracking, joe biden, click watch"
